left_score,right_score,left_rank,right_rank,in_left_top5pct,in_right_top5pct
99.60343876242105,92.9529036837771,1.0,6.0,True,False
99.12028564176914,91.82581909212331,2.0,7.0,True,False
97.05183682520047,91.41054463023617,4.0,8.0,True,False
97.69788585505435,90.10985863378895,3.0,9.0,True,False
96.31914737046411,89.4609487546923,5.0,11.0,True,False
94.85397625739031,100.62482485507634,6.0,2.0,False,True
93.84402533590492,101.106113517907,7.0,1.0,False,True
93.15191768388941,99.5254451666118,8.0,3.0,False,True
91.86616984889783,99.51952869483979,9.0,4.0,False,True
90.88704556941839,99.01737391378722,10.0,5.0,False,True
90.36003391000456,89.95905677778453,11.0,10.0,False,False
89.25735260288688,88.11332802346838,12.0,12.0,False,False
87.9679360321829,88.02530938152378,13.0,13.0,False,False
86.95726171840707,86.65142414074603,14.0,14.0,False,False
86.08045816133283,86.06686955765007,15.0,15.0,False,False
84.69299080274055,85.52514081376009,16.0,16.0,False,False
83.79812486767186,83.24670396512568,17.0,18.0,False,False
83.27413009010321,83.6565287584306,18.0,17.0,False,False
81.93475860342957,82.40769237563383,19.0,19.0,False,False
80.31278691216164,80.54315503161742,20.0,20.0,False,False
79.7613606401834,80.32061471976888,21.0,21.0,False,False
79.32831080264677,79.09912966336506,22.0,22.0,False,False
77.88385861395837,77.54310376158995,23.0,23.0,False,False
76.92563359488184,77.44512499416243,24.0,24.0,False,False
76.32091831408562,76.68106832501455,25.0,25.0,False,False
75.91230515245772,76.60749422353402,26.0,26.0,False,False
73.64340566406585,73.7495504529716,28.0,28.0,False,False
73.67410340671705,74.48588496650237,27.0,27.0,False,False
71.38499361233006,71.24395348218779,29.0,29.0,False,False
71.08748881137019,70.55732423328736,30.0,30.0,False,False
69.4152352402438,68.39669064148559,32.0,33.0,False,False
69.6757290922521,69.12502844721003,31.0,31.0,False,False
68.41696149835913,68.82621325140286,33.0,32.0,False,False
67.56885839232753,66.83639404831159,34.0,34.0,False,False
65.55723342272225,65.33105129662503,35.0,36.0,False,False
65.34227751274237,66.39556949166325,36.0,35.0,False,False
63.740493335085255,64.16389130632629,37.0,37.0,False,False
62.77130734442403,63.666799622998134,38.0,38.0,False,False
62.25326853969936,61.75748744596796,39.0,39.0,False,False
61.43835908623436,60.20837160037619,40.0,41.0,False,False
60.10221010770269,60.86040057625347,41.0,40.0,False,False
58.6860064494947,57.97753518077461,42.0,42.0,False,False
57.587091739558495,57.632553509199695,44.0,44.0,False,False
57.722158512912614,57.8307051287391,43.0,43.0,False,False
56.296972955356146,55.82252474917399,45.0,47.0,False,False
